"file","folder","category","intended_page_or_gallery","selection_status","orientation","width","height","megapixels","visual_quality_signal","brightness","contrast","sharpness","exact_duplicate","similarity_note","relative_path"
"DSC02355.JPG","Events","events","Portfolio: Public presence","Selected","landscape","7008","4672","32.74","strong","73.2","54.8","223.8","None","None","_photo-masters/Events/DSC02355.JPG"
"DSC02377.JPG","Events","events","Portfolio: Public presence","Selected","landscape","7008","4672","32.74","strong","111.6","63.2","234.2","None","None","_photo-masters/Events/DSC02377.JPG"
"DSC02378.JPG","Events","events","Portfolio: Public presence","Selected","landscape","7008","4672","32.74","strong","136.1","67.6","261.6","None","None","_photo-masters/Events/DSC02378.JPG"
"IMG_0006.jpg","Events","events","Portfolio: Public presence","Selected","landscape","5644","3763","21.24","good","94.0","43.8","47.6","None","None","_photo-masters/Events/IMG_0006.jpg"
"IMG_0028-Enhanced-NR.jpg","Events","events","Portfolio: Public presence","Selected","landscape","6240","4160","25.96","strong","115.3","50.5","176.1","None","None","_photo-masters/Events/IMG_0028-Enhanced-NR.jpg"
"IMG_0124-Enhanced-NR.jpg","Events","events","Portfolio: Public presence","Selected","landscape","5628","3752","21.12","strong","120.9","71.9","169.7","None","None","_photo-masters/Events/IMG_0124-Enhanced-NR.jpg"
"IMG_0164.jpg","Events","events","None","Excluded: repeated moment or less complete composition","landscape","6240","4160","25.96","strong","86.4","63.7","154.3","None","None","_photo-masters/Events/IMG_0164.jpg"
"IMG_0191.jpg","Events","events","None","Excluded: repeated moment or less complete composition","landscape","6240","4160","25.96","strong","98.6","67.2","136.3","None","None","_photo-masters/Events/IMG_0191.jpg"
"IMG_0194-Enhanced-NR.jpg","Events","events","None","Excluded: repeated moment or less complete composition","landscape","4160","2784","11.58","strong","111.2","61.3","176.2","None","None","_photo-masters/Events/IMG_0194-Enhanced-NR.jpg"
"IMG_0255-Enhanced-NR.jpg","Events","events","Portfolio: Public presence","Selected","landscape","6240","4160","25.96","strong","77.6","72.6","97.5","None","None","_photo-masters/Events/IMG_0255-Enhanced-NR.jpg"
"IMG_0264-Enhanced-NR.jpg","Events","events","None","Excluded: repeated moment or less complete composition","landscape","6240","4160","25.96","strong","82.1","72.2","105.9","None","None","_photo-masters/Events/IMG_0264-Enhanced-NR.jpg"
"IMG_0314-Enhanced-NR.jpg","Events","events","Portfolio: Public presence","Selected","landscape","6240","4160","25.96","strong","117.6","73.0","333.1","None","None","_photo-masters/Events/IMG_0314-Enhanced-NR.jpg"
"IMG_0316-Enhanced-NR.jpg","Events","events","None","Excluded: repeated moment or less complete composition","landscape","6240","4160","25.96","strong","122.9","77.0","343.6","None","None","_photo-masters/Events/IMG_0316-Enhanced-NR.jpg"
"logo.png","Personnels","personal","None","Excluded: personal folder is not published","landscape","1004","591","0.59","review","254.8","2.6","4.0","None","None","_photo-masters/Personnels/logo.png"
"m1.jpg","Personnels","personal","None","Excluded: personal folder is not published","landscape","2048","1365","2.8","good","92.6","61.5","50.8","None","None","_photo-masters/Personnels/m1.jpg"
"m2.png","Personnels","personal","Homepage: Behind the lens","Selected","landscape","2528","1696","4.29","strong","69.6","68.1","264.7","None","None","_photo-masters/Personnels/m2.png"
"m3.png","Personnels","personal","None","Excluded: personal folder is not published","square","1024","1024","1.05","strong","106.8","73.2","188.3","None","None","_photo-masters/Personnels/m3.png"
"DSC01170.jpg","REEL ESTATE","real-estate","Portfolio: Lived-in spaces","Selected","landscape","4240","2832","12.01","strong","167.6","47.7","164.7","None","None","_photo-masters/REEL ESTATE/DSC01170.jpg"
"DSC01201.jpg","REEL ESTATE","real-estate","Portfolio: Lived-in spaces","Selected","landscape","4240","2832","12.01","strong","187.7","29.2","87.7","None","None","_photo-masters/REEL ESTATE/DSC01201.jpg"
"DSC01209.jpg","REEL ESTATE","real-estate","Portfolio: Lived-in spaces","Selected","landscape","4240","2832","12.01","strong","183.8","45.2","118.6","None","None","_photo-masters/REEL ESTATE/DSC01209.jpg"
"DSC01268.jpg","REEL ESTATE","real-estate","None","Excluded: repeated room coverage or weaker composition","landscape","4240","2832","12.01","good","163.1","48.3","52.7","None","None","_photo-masters/REEL ESTATE/DSC01268.jpg"
"DSC01919.jpg","REEL ESTATE","real-estate","Portfolio: Lived-in spaces","Selected","landscape","7020","4680","32.85","strong","162.0","54.9","645.6","None","None","_photo-masters/REEL ESTATE/DSC01919.jpg"
"DSC01925.jpg","REEL ESTATE","real-estate","Portfolio: Lived-in spaces","Selected","landscape","7018","4678","32.83","strong","172.8","47.1","333.4","None","None","_photo-masters/REEL ESTATE/DSC01925.jpg"
"DSC01982.jpg","REEL ESTATE","real-estate","None","Excluded: repeated room coverage or weaker composition","landscape","7020","4680","32.85","strong","176.7","46.6","211.4","None","None","_photo-masters/REEL ESTATE/DSC01982.jpg"
"DSC02171.jpg","REEL ESTATE","real-estate","Portfolio: Lived-in spaces","Selected","landscape","7020","4680","32.85","strong","158.8","56.6","1547.2","None","None","_photo-masters/REEL ESTATE/DSC02171.jpg"
"DSC_7906-2.jpg","REEL ESTATE","real-estate","Portfolio: Lived-in spaces","Selected","landscape","6016","4016","24.16","good","102.9","40.4","74.1","None","None","_photo-masters/REEL ESTATE/DSC_7906-2.jpg"
"DSC_7909-2.jpg","REEL ESTATE","real-estate","None","Excluded: repeated room coverage or weaker composition","landscape","6016","4016","24.16","good","130.3","40.8","74.9","None","None","_photo-masters/REEL ESTATE/DSC_7909-2.jpg"
"DSC_7923.jpg","REEL ESTATE","real-estate","Portfolio: Lived-in spaces","Selected","landscape","6016","4016","24.16","strong","147.2","34.8","104.5","None","None","_photo-masters/REEL ESTATE/DSC_7923.jpg"
"DSC02438.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","3962","5943","23.55","good","147.2","61.8","34.0","None","None","_photo-masters/Restaurants & Foods/DSC02438.jpg"
